,Variants,HD,Count input,Count selected,Fitness
85028,LFIP,4,2377,31,0.00357449868706
114118,QPQN,4,153,2,0.00358278869034
95637,MSVM,4,1162,19,0.00448156915784
97735,NEAA,4,425,58,0.0374043139272
59303,GGVD,4,13,0,0.0
117389,REAL,4,4163,40,0.0026335175096
72883,IIKP,4,349,3,0.00235601720468
45848,EEWK,4,81,0,0.0
131555,TGYQ,4,17,0,0.0
27877,YNNV,3,218,2,0.00251452600744
124251,SEMH,4,240,2,0.00228402779009
3725,CRSV,3,1334,69,0.0141767242144
145902,YMAP,4,1156,22,0.00521611882859
77168,IYSC,4,456,137,0.0823452124323
94838,MQPE,4,67,1,0.00409079604196
21237,VGYC,3,65,1,0.0042166666894
66050,HHNN,4,66,0,0.0
99128,NICH,4,106,5,0.0129284591892
24533,VSNQ,3,507,2,0.00108119658703
27231,YDCK,3,132,5,0.0103819445004
124653,SFQI,4,117,2,0.00468518521045
68845,HRQR,4,399,3,0.00206077695347
108245,PRRI,4,381,4,0.0028775153261
3332,CFGM,3,976,8188,2.29937945229
8890,HTCV,3,340,18,0.0145102941959
95709,MTCL,4,486,293,0.165239541357
110077,QAAQ,4,1199,11,0.00251452600744
49122,EQNE,4,12,0,0.0
116904,RAQC,4,908,18,0.00543337007335
9191,IDFK,3,114,1,0.00240423977904
91119,MCST,4,1015,123,0.0332140395879
59659,GHVY,4,209,0,0.0
107593,PPTF,4,89,3,0.00923876409476
126884,SNAT,4,1237,38,0.00841969823995
134684,TSRS,4,339,6,0.00485103247453
99704,NKSH,4,274,0,0.0
145538,YLAA,4,3074,31009,2.76481786895
35622,CMHY,4,210,5,0.00652579368598
21469,VHQA,3,29,0,0.0
140376,WQFL,4,1606,154,0.026281963612
88602,LRPA,4,1142,111,0.0266403241366
58394,GEER,4,332,0,0.0
7883,GVGI,3,533,9,0.00462804880544
1390,VDWH,2,29,0,0.0
25182,VVLN,3,285,9,0.00865526320456
67172,HLTL,4,1841,11,0.00163765164743
108004,PRAD,4,12,4,0.0913611116037
83198,KWAT,4,235,1,0.00116631206303
114427,QQNM,4,90,0,0.0
86368,LKER,4,562,2,0.000975385533136
50294,ETYH,4,86,2,0.00637403104212
37273,CSCS,4,1147,139,0.0332149812892
76882,IWWF,4,82,4,0.0133699187713
143731,YESM,4,454,3,0.00181112335778
106275,PKYI,4,74,1,0.0037038288488
87230,LMPY,4,513,6,0.00320565303873
68655,HRDH,4,406,2,0.00135016421089
137328,WFQC,4,244,2,0.00224658471157
42555,DPLI,4,49,0,0.0
104604,PFCN,4,181,11,0.0166569982482
117405,RECH,4,1610,32,0.00544761907699
48243,EMYG,4,87,13,0.0409549810637
68157,HPQR,4,211,1,0.00129897315076
117662,RETA,4,2307,27,0.00320773733849
21019,VGHY,3,27,0,0.0
68753,HRKQ,4,151,1,0.00181512142259
33652,CFPI,4,225,9,0.0109633333924
88240,LQNI,4,90,1,0.00304537038679
4906,ECRV,3,69,3,0.0119166667309
18738,TDIK,3,15,0,0.0
52100,FEPE,4,40,1,0.00685208337028
48049,EMKM,4,27,0,0.0
36696,CQLF,4,287,12,0.0114599303754
13864,NIIV,3,134,2,0.00409079604196
132242,TKFP,4,217,2,0.0025261136849
117710,REWM,4,1132,3,0.000726369261867
111425,QFWL,4,383,4,0.00286248913641
90343,LYMT,4,570,1508,0.72511871736
47074,EINK,4,37,1,0.0074076576976
57159,FWMH,4,29,2,0.0189022989525
62171,GRFC,4,191,20,0.0286998256347
28014,YSGM,3,1097,5740,1.43412793238
47155,EISW,4,161,0,0.0
134680,TSRN,4,141,2,0.00388770687675
59161,GGLH,4,726,1,0.000377525254561
38760,CYKK,4,46,2,0.0119166667309
81486,KQEE,4,161,5,0.0085119048078
98569,NGLH,4,655,8,0.00334758271525
6532,FLGG,3,659,832,0.346035409048
114645,QREI,4,521,4,0.00210428663962
64199,HAEC,4,108,1,0.00253780865566
63964,GYLP,4,194,2,0.00282560138981
77228,IYWH,4,138,0,0.0
109160,PVIW,4,190,2,0.00288508773485
105029,PGIE,4,112,0,0.0
31288,ASDE,4,25,0,0.0
95677,MSYQ,4,498,4,0.00220147256876
105115,PGNW,4,43,0,0.0
54099,FLLL,4,2270,86,0.010383773918
68669,HREC,4,175,3,0.0046985714539
30379,AMWP,4,30,0,0.0
36471,CPSR,4,1440,30,0.00571006947523
125705,SIRD,4,10,0,0.0
41,VDGT,1,805,2247,0.615188984875
35776,CMSK,4,617,28,0.0124381416122
65349,HFMR,4,587,6,0.00280153323487
120893,RPWM,4,470,4,0.00233262412605
114530,QQVF,4,507,3,0.00162179488054
54483,FMNP,4,248,3,0.00331552421142
51055,EYIE,4,11,0,0.0
116817,RAKL,4,2487,31,0.00341639862451
130279,TAVF,4,54,0,0.0
93664,MMDW,4,245,3,0.00335612246707
8518,HHGC,3,187,1240,1.81745099019
44687,DYET,4,47,0,0.0
19876,VAYL,3,199,4,0.00550921276002
91061,MCPP,4,512,10,0.00535319013303
111795,QGYD,4,19,0,0.0
122762,RWEE,4,152,1,0.00180317983428
85578,LGWH,4,331,2,0.00165609265747
116098,QWIA,4,508,3,0.00161860237093
49751,ESKE,4,70,1,0.00391547621159
124996,SGQE,4,155,1,0.00176827957943
137793,WGWR,4,6646,50,0.0020620172646
62174,GRFG,4,366,1164,0.871674868088
141328,WSWD,4,38,3,0.0216381580114
135927,TYPP,4,40,0,0.0
9579,IHGN,3,257,1717,1.83113262985
48421,ENME,4,127,4,0.0086325459783
69297,HSYI,4,366,13,0.00973520041679
72752,IIAI,4,502,1398,0.763283868657
88985,LSQL,4,822,3,0.00100030414165
2348,AEGT,3,39,1,0.00702777781567
51043,EYFW,4,16,0,0.0
91915,MGCM,4,159,18,0.0310283020541
106927,PMVF,4,405,4,0.00270699589937
68053,HPKA,4,195,2,0.00281111112627
33875,CGFP,4,933,51,0.0149820472405
88714,LRVY,4,1961,13,0.00181697264281
85760,LHLK,4,190,1,0.00144254386743
85895,LHTW,4,109,1,0.00251452600744
82354,KSQK,4,184,1,0.00148958334136
66523,HIWS,4,488,14,0.00786304649048
76886,IWWK,4,93,2,0.00589426526476
101349,NQNI,4,31,0,0.0
91888,MGAA,4,782,5605,1.96449755961
24562,VSQH,3,128,1,0.00214127605321
24618,VSTI,3,456,2,0.00120211988952
104918,PFYY,4,179,1,0.00153119181459
110523,QCHT,4,168,14,0.0228402779009
57545,FYRC,4,32,3,0.0256953126385
27077,WWGT,3,2125,8270,1.06666784889
66981,HLHC,4,213,4,0.00514710487908
108238,PRQY,4,67,2,0.00818159208391
143627,YELT,4,1322,4420,0.916375446191
131784,THTY,4,15,0,0.0
46143,EFTH,4,39,0,0.0
63946,GYKP,4,35,1,0.00783095242317
92567,MHYY,4,74,1,0.0037038288488
128364,SSHM,4,288,3,0.00285503473762
51329,FAFW,4,74,0,0.0
121643,RSAW,4,1794,17,0.00259722223623
34418,CHTQ,4,118,4,0.00929096050207
4114,DDNT,3,23,1,0.0119166667309
113124,QLTC,4,432,17,0.0107856867865
13512,NDMA,3,223,3,0.00368721975082
30776,APNL,4,18,0,0.0
101977,NSKE,4,74,1,0.0037038288488
91671,MFKF,4,207,2,0.00264814816243
18562,SYMV,3,174,3,0.00472557473812
21795,VIPM,3,100,0,0.0
138593,WKET,4,1037,9,0.00237873675342
146687,YPHT,4,523,5,0.00262029956798
50771,EWKP,4,25,1,0.0109633333924
133634,TPIR,4,83,1,0.00330220885315
17871,SDTR,3,476,2,0.00115161065047
120069,RMPD,4,15,0,0.0
33696,CFRS,4,848,43,0.0138980936284
105068,PGLH,4,308,4,0.00355952382872
89615,LVLH,4,2968,287,0.0265033413379
77358,KAHG,4,643,8,0.00341005704275
5477,EKYV,3,128,1,0.00214127605321
40092,DFSN,4,221,0,0.0
14553,PDLQ,3,114,1,0.00240423977904
68251,HPWW,4,92,0,0.0
46074,EFPG,4,69,0,0.0
56412,FTFE,4,199,2,0.00275460638001
13641,NDVF,3,195,3,0.0042166666894
80714,KMWQ,4,326,2,0.0016814928516
103802,PARN,4,156,2,0.00351388890783
2934,CCVV,3,440,14,0.00872083338035
46807,EHSN,4,57,0,0.0
64802,HCWL,4,258,17,0.0180597546193
56816,FVKN,4,75,0,0.0
89743,LVTD,4,14,0,0.0
3308,CENV,3,150,2,0.00365444446415
85946,LHYR,4,284,3,0.00289524649448
121029,RQIA,4,545,3,0.00150871560446
88180,LQKA,4,138,13,0.0258194445837
123075,RYCI,4,118,9,0.0209046611297
73267,IKMW,4,212,2,0.00258569183784
24610,VSSW,3,790,7,0.00242858651098
105053,PGKL,4,110,1,0.0024916666801
107322,PPAE,4,146,1,0.00187728311514
33344,CERK,4,273,8,0.00803174607505
101467,NQVW,4,142,2,0.00386032865931
115064,QSKG,4,399,6,0.00412155390693
78271,KEWE,4,456,8,0.00480847955809
69098,HSKN,4,221,4,0.00496078434047
137134,WFCP,4,1622,135,0.0228121147962
11573,LDYT,3,348,106,0.0834851537068
134564,TSKE,4,33,0,0.0
15217,PSSV,3,1222,8,0.00179432625081
83870,LAAE,4,471,6,0.00349150744982
32992,CCQW,4,28,0,0.0
75188,IRCD,4,15,6,0.109633333924
76901,IWYG,4,309,2061,1.82810923316
48819,EPQF,4,13,0,0.0
2924,CCIV,3,120,3,0.00685208337028
123924,SCNF,4,82,4,0.0133699187713
15098,PPLV,3,391,1,0.000700980395936
82649,KTMM,4,391,1,0.000700980395936
46768,EHQK,4,12,0,0.0
52594,FGAR,4,234,1,0.00117129630261
109125,PVFY,4,414,5,0.00331018520303
37971,CVCY,4,602,14,0.00637403104212
58572,GERP,4,934,1,0.000293451107935
26860,WPRV,3,3734,30,0.00220206214364
62074,GQWQ,4,59,1,0.00464548025104
96720,MYAA,4,804,9905,3.37661123297
111091,QEWW,4,320,4,0.00342604168514
79393,KIDK,4,244,3,0.00336987706735
27742,YKGC,3,390,1855,1.30365278481
16976,RGPV,3,3969,45,0.00310752080285
93982,MNCH,4,157,5,0.00872876862456
144414,YGSE,4,752,3,0.00109341755909
23705,VQDQ,3,53,0,0.0
61544,GPKG,4,68,1,0.00403063727663
92042,MGLM,4,420,11,0.00717837305458
119051,RIRY,4,1668,11,0.00180750400655
73039,IIVG,4,939,2047,0.597495832118
101578,NRFC,4,197,3,0.00417385789052
34686,CIPN,4,272,7,0.00705361523411
123368,RYWN,4,110,0,0.0
13526,NDMS,3,253,4,0.0043333333567
136664,WCSL,4,2817,455,0.0442697612137
120525,RNVP,4,5191,51,0.00269278560496
72563,IHLT,4,421,1660,1.08070863607
1434,VEGM,2,93,362,1.06686201292
11176,LAGS,3,1779,4152,0.639681847181
107670,PQAL,4,255,2,0.0021496732142
11521,LDTY,3,216,2,0.00253780865566
127631,SQER,4,333,3,0.00246921923253
128839,STQE,4,134,1,0.00204539802098
53357,FIHG,4,46,1,0.00595833336546
128913,STVD,4,33,0,0.0
24157,VRMF,3,220,5,0.00622916670025
113453,QMSA,4,2227,251,0.0308912963797
9771,INGQ,3,804,631,0.215107691873
97106,NADI,4,134,1,0.00204539802098
129358,SWDC,4,150,2,0.00365444446415
40143,DFWK,4,16,0,0.0
105116,PGNY,4,71,0,0.0
127547,SPYC,4,209,7,0.0091798246109
135705,TWVQ,4,55,0,0.0
129831,SYMG,4,117,88,0.20614814926
33054,CCVI,4,211,10,0.0129897315076
9190,IDFI,3,93,10,0.0294713263238
100749,NNSY,4,215,0,0.0
102251,NTEG,4,206,0,0.0
120311,RNHC,4,257,0,0.0
68440,HQMK,4,68,0,0.0
119981,RMIL,4,1946,13,0.00183097808456
23421,VPHQ,3,49,0,0.0
16769,RDRP,3,8244,68,0.00226075530897
128612,SSYS,4,1455,18,0.00339072166777
32712,CAVI,4,522,67,0.035179278606
63960,GYLK,4,57,1,0.00480847955809
31913,AVEY,4,13,0,0.0
136214,WAMI,4,977,2152,0.603712729287
27784,YLGG,3,1986,528,0.0728680769286
104212,PCWP,4,126,4,0.00870105824797
43268,DRTY,4,67,0,0.0
21128,VGQA,3,37,1,0.0074076576976
147719,YSFY,4,598,11,0.00504166669385
86513,LKPQ,4,332,2,0.00165110442657
123047,RWYS,4,810,25,0.00845936218553
99532,NKFR,4,362,2,0.00151427256802
87577,LNPY,4,303,2,0.00180913092285
105323,PHEK,4,33,0,0.0
74829,IQAG,4,214,1660,2.12606698966
78631,KFYE,4,26,0,0.0
115415,QTKH,4,313,6,0.00525399363855
35713,CMPA,4,793,26,0.00898633884627
16743,RDQG,3,864,11,0.00348948690153
4956,EDDL,3,478,7,0.00401377268552
147896,YSSN,4,1233,9,0.00200060828329
97214,NALH,4,627,5,0.0021856725264
113379,QMMY,4,246,2,0.00222831979521
22716,VMFS,3,983,96,0.0267670398188
97652,NCSK,4,90,3,0.00913611116037
108627,PSTK,4,296,3,0.0027778716366
1915,VTGF,2,325,1242,1.04742000565
99113,NIAL,4,675,14,0.00568469138867
115963,QVWM,4,1092,21,0.00527083336175
144009,YFNW,4,132,3,0.00622916670025
12959,MNGW,3,452,276,0.167360620371
82842,KVCA,4,3793,44094,3.18624586479
146877,YPVF,4,851,1,0.000322072073809
60716,GLYI,4,155,1,0.00176827957943
27320,YDII,3,129,0,0.0
121454,RRMW,4,869,3,0.000946202536747
2775,ATYV,3,12,2,0.0456805558019
143248,YCIT,4,187,12,0.0175882353889
76491,IVSP,4,3457,42,0.00332991034483
112704,QKPG,4,315,3,0.00261031747439
28390,AAYT,4,22,18,0.224250001209
6629,FNSV,3,316,5,0.00433676162676
5597,EPGF,3,120,0,0.0
41771,DMAL,4,234,1,0.00117129630261
20525,VEVQ,3,170,2,0.00322450982131
69381,HTFA,4,950,242,0.0698191231835
138349,WIMS,4,1326,6011,1.24246977794
133884,TQDP,4,33,1,0.00830555560034
113400,QMPE,4,342,3,0.00240423977904
126662,SMKS,4,662,6,0.0024841389862
9667,IKMV,3,438,18,0.0112636986909
148172,YTNP,4,576,5,0.00237919561468
129085,SVIK,4,523,4,0.00209623965439
83939,LAEY,4,203,1,0.00135016421089
2713,ASGE,3,45,0,0.0
89761,LVVC,4,1869,230,0.0337288212983
15710,QDSK,3,570,2,0.000961695911618
88303,LQRT,4,635,11,0.00474790028807
122593,RVRC,4,4697,94,0.0054851678672
53436,FIMP,4,169,7,0.0113525641638
81974,KRNW,4,257,2,0.00213294423978
133486,TNWH,4,24,1,0.0114201389505
25017,VTYL,3,725,5,0.00189022989525
44888,DYVY,4,100,1,0.00274083334811
104564,PEYI,4,32,0,0.0
2529,ALGM,3,81,108,0.365444446415
35186,CLCG,4,706,183,0.0710442638391
16485,RCGH,3,671,129,0.0526926232349
136578,WCMT,4,497,1462,0.806257214273
132952,TMIG,4,151,4,0.00726048569036
22759,VMKE,3,109,3,0.00754357802232
85855,LHRQ,4,235,0,0.0
126780,SMSE,4,1129,7,0.00169936522912
9824,IPTV,3,373,3,0.00220442360438
41901,DMKQ,4,26,0,0.0
146138,YMRP,4,1435,17,0.00324698027302
62226,GRKE,4,124,1,0.00221034947428
79996,KKVN,4,791,8,0.00277201855688
25553,VWNE,3,205,6,0.00802195126276
132149,TIYL,4,194,2,0.00282560138981
17833,SDRP,3,1352,12,0.00243269232081
66555,HKAN,4,246,1,0.00111415989761
24151,VRLT,3,1498,12767,2.33592919595
145469,YKTF,4,172,1,0.00159350776053
89976,LWLR,4,1350,33,0.00669981485094
144072,YFSH,4,920,4,0.00119166667309
10264,KDHG,3,317,7,0.006052313387
142007,WVSY,4,5003,48,0.00262962224084
2704,ARWV,3,31,1,0.00884139789713
38461,CWMS,4,180,131,0.199471760335
140463,WQMG,4,597,4051,1.85981840757
23979,VQYI,3,60,0,0.0
86849,LLNN,4,817,12,0.00402570381608
112841,QKYS,4,456,16,0.00961695911618
57620,FYWG,4,19,5,0.0721271933713
14311,NYIV,3,87,1,0.00315038315875
31876,AVCT,4,51,85,0.456805558019
116695,RACC,4,1244,1137,0.25050864283
33871,CGFK,4,268,16,0.0163631841678
137891,WHFC,4,387,3185,2.25569876324
36188,CNYE,4,102,5,0.0134354575888
127518,SPVL,4,3935,39,0.00271645490664
23265,VNVC,3,513,53,0.0283166018421
114425,QQNK,4,60,0,0.0
32783,CCCH,4,157,16,0.0279320595986
120405,RNNG,4,455,2,0.00120476191126
50017,ETDW,4,90,0,0.0
55354,FQCW,4,26,2,0.021083333447
76954,IYDF,4,203,0,0.0
112003,QHNP,4,315,0,0.0
71425,IEEA,4,134,2,0.00409079604196
124935,SGLR,4,2407,20,0.00227738541596
128020,SRIC,4,418,14,0.0091798246109
132709,TLPR,4,248,1,0.00110517473714
147800,YSMI,4,357,45,0.034548319514
76357,IVKH,4,318,6,0.00517138367568
15991,QKGE,3,693,21,0.00830555560034
94195,MNRC,4,239,7,0.00802754537104
122077,RTFW,4,770,5,0.00177976191436
75032,IQPM,4,101,0,0.0
87546,LNNG,4,302,179,0.162453367322
97697,NCVW,4,47,4,0.0233262412605
127445,SPQN,4,197,0,0.0
118138,RGDT,4,4697,37,0.00215905543709
37166,CRSY,4,801,19,0.00650135251112
129440,SWIP,4,570,4,0.00192339182324
46729,EHNE,4,19,1,0.0144254386743
62966,GTMY,4,228,2,0.00240423977904
77889,KCTH,4,61,0,0.0
42528,DPII,4,27,0,0.0
80255,KLPT,4,1120,12,0.00293660715869
14130,NRQV,3,186,1,0.00147356631619
66188,HHYG,4,62,89,0.393442206422
30686,APEA,4,31,0,0.0
86540,LKRE,4,693,2,0.00079100529527
11172,LAGN,3,593,577,0.266688168948
135214,TVHL,4,79,1,0.00346940930141
29339,AILH,4,44,0,0.0
45663,EEKE,4,56,1,0.00489434526448
117205,RCMK,4,127,6,0.0129488189675
39509,DCSN,4,52,3,0.0158125000853
137206,WFHK,4,166,4,0.00660441770629
121951,RSWG,4,2022,28,0.00379541709926
120743,RPMK,4,419,2,0.00130827367452
42580,DPMS,4,51,0,0.0
107110,PNKI,4,60,0,0.0
108070,PRER,4,367,2,0.00149364215156
147802,YSML,4,997,38,0.0104465062415
124987,SGPP,4,1396,18,0.00353402580702
64943,HEIH,4,113,0,0.0
143597,YEKG,4,74,0,0.0
49706,ESFP,4,563,28,0.0136311427615
13826,NHHV,3,49,0,0.0
124146,SEEM,4,71,0,0.0
79198,KHNQ,4,110,3,0.0074750000403
119340,RKNM,4,271,1,0.00101137761923
14100,NRAV,3,572,7,0.00335416668475
86471,LKMI,4,273,168,0.168666667576
9318,IDPL,3,212,2,0.00258569183784
58905,GFRE,4,104,1,0.00263541668088
147707,YSFH,4,850,21,0.00677147062475
91342,MELF,4,235,2,0.00233262412605
51607,FCCL,4,129,158,0.335698968218
26461,WDWP,3,2675,33,0.0033812149715
89774,LVVR,4,5547,44,0.00217408810739
12097,LTMV,3,821,89,0.0297118353206
147055,YQKA,4,144,5,0.00951678245872
52704,FGIT,4,148,2,0.0037038288488
137924,WHHT,4,545,66,0.0331917432982
94059,MNHN,4,59,1,0.00464548025104
64996,HEMF,4,65,1,0.0042166666894
65645,HGKE,4,81,1,0.00338374487421
74611,IPKF,4,42,0,0.0
99304,NIPC,4,100,0,0.0
49741,ESIN,4,114,2,0.00480847955809
140810,WRLT,4,9631,180758,5.1440925588
130115,TAIH,4,37,0,0.0
81328,KPRK,4,505,4,0.00217095710741
34051,CGSI,4,491,14,0.00781500343657
85022,LFIH,4,1048,17,0.00444600829369
29777,ALCI,4,31,3,0.0265241936914
17849,SDSM,3,358,6,0.00459357544376
95697,MTAS,4,616,458,0.203782739194
51817,FCRS,4,98,3,0.00839030616769
52344,FFHW,4,44,0,0.0
116650,QYWP,4,135,2,0.00406049384905
12860,MKYV,3,417,72,0.0473237412624
10305,KDKM,3,215,3,0.00382441862527
62551,GSIC,4,165,1,0.00166111112007
71695,IEWY,4,63,3,0.013051587372
27096,WYDV,3,759,2,0.000722222226116
112137,QHWY,4,232,0,0.0
95,ADGY,2,12,0,0.0
32197,AWLT,4,27,281,2.85249692896
78062,KEHS,4,770,5,0.00177976191436
135045,TTTC,4,43,1,0.00637403104212
77632,KCCA,4,111,476,1.17534835469
128576,SSVW,4,1486,10,0.00184443697719
104792,PFQA,4,125,1,0.00219266667849
73952,IMLT,4,2616,3128,0.327726556303
135479,TWCF,4,14,2,0.0391547621159
68840,HRQL,4,423,4,0.0025918045845
36611,CQEL,4,240,3,0.00342604168514
53985,FLDF,4,196,0,0.0
133607,TPHA,4,27,0,0.0
32501,CAFS,4,903,704,0.213681802555
132390,TKRA,4,186,4,0.00589426526476
89178,LTES,4,786,7,0.00244094572987
112482,QIWY,4,370,1,0.00074076576976
109413,PWCR,4,226,10,0.0121275811863
73258,IKMK,4,183,2,0.00299544628209
106450,PLLW,4,514,3,0.00159970817983
52592,FGAP,4,263,1,0.00104214195746
142992,YAPS,4,1079,13,0.00330220885315
73287,IKPA,4,691,18,0.00713965271577
135246,TVKG,4,43,1,0.00637403104212
130857,TEVH,4,45,1,0.00609074077358
106027,PKFN,4,162,2,0.00338374487421
110037,PYWM,4,44,0,0.0
747,PDGF,2,134,0,0.0
72083,IGCF,4,101,6,0.0162821783056
15435,QCMV,3,108,11,0.0279158952122
62304,GRPK,4,232,0,0.0
48586,ENYG,4,96,25,0.0713758684404
61686,GPTE,4,73,1,0.00375456623029
84096,LAQM,4,87,0,0.0
131510,TGVF,4,74,0,0.0
124255,SEMM,4,166,5,0.00825552213286
148543,YVPS,4,1926,17,0.00241921946614
115652,QVCA,4,3252,42583,3.5889577633
133624,TPIF,4,24,1,0.0114201389505
23390,VPEY,3,36,0,0.0
110645,QCQP,4,187,3,0.00439705884724
75456,IRTN,4,526,7,0.0036474968511
51018,EYEK,4,13,0,0.0
99440,NIYP,4,199,0,0.0
94459,MPLQ,4,156,0,0.0
18827,TDQP,3,22,1,0.0124583334005
55735,FRFP,4,478,94,0.0538992332055
57955,GAVT,4,1364,5,0.00100470430649
29953,ALPE,4,43,0,0.0
70326,HWWY,4,96,1,0.00285503473762
9121,IDAM,3,133,515,1.06130013104
119812,RLVL,4,9917,88,0.00243211994186
141856,WVKA,4,2610,2349,0.24667500133
43847,DTNK,4,36,1,0.00761342596698
7304,GDVQ,3,502,0,0.0
17459,RWGS,3,1097,143,0.0357282742735
104375,PEKR,4,61,0,0.0
55419,FQHM,4,22,1,0.0124583334005
47385,EKLQ,4,280,3,0.00293660715869
121710,RSFK,4,1337,14,0.00286998256347
4227,DEGG,3,48,1,0.00571006947523
31404,ASMP,4,67,2,0.00818159208391
102065,NSQA,4,217,0,0.0
28228,AAFA,4,37,146,1.08151802385
120595,RPCK,4,419,17,0.0111203262334
66002,HHKW,4,18,0,0.0
38724,CYHK,4,48,1,0.00571006947523
22990,VNAW,3,232,26,0.0307162357978
79972,KKTH,4,404,3,0.0020352722882
43400,DSFH,4,151,4,0.00726048569036
144327,YGMI,4,200,3,0.00411125002217
132185,TKCL,4,105,2,0.00522063494878
129241,SVSS,4,4734,103,0.00596336786767
84873,LEWG,4,243,10,0.0112791495807
2331,ADYA,3,12,5,0.114201389505
45876,EEYY,4,71,2,0.00772065731862
60369,GKYH,4,108,3,0.00761342596698
90830,MAWS,4,241,7,0.00796092673725
60945,GMQA,4,181,1,0.00151427256802
124624,SFNR,4,983,5,0.00139411665723
117478,REHF,4,454,4,0.00241483114371
142783,YAAH,4,573,14,0.00669662598142
59682,GHYG,4,39,57,0.400583335493
93697,MMFR,4,1364,16,0.00321505378078
50779,EWLF,4,29,2,0.0189022989525
48055,EMKT,4,104,3,0.00790625004263
105139,PGQG,4,33,0,0.0
32314,AYIR,4,30,1,0.00913611116037
67937,HPAN,4,294,2,0.00186451248171
93225,MKWG,4,328,32,0.0267398375425
105642,PIDG,4,174,2,0.00315038315875
70990,IAVT,4,712,126,0.0485035114975
7932,GWHV,3,37,0,0.0
112468,QIWF,4,282,2,0.00194385343838
116511,QYMY,4,69,0,0.0
